模型,类型,Box_Precision,Box_Recall,Box_mAP50,Box_mAP50-95
extra_small,det,0.125,0.00539568345323741,0.004166666666666667,0.0008333333333333333
medium,det,0.54836111581789,0.7560597627738035,0.6314931995526739,0.37212577511130457
scratch,det,0.6089306003997432,0.6120250583619334,0.6489349923659372,0.44550841181701395
transfer,det,0.6759850794721763,0.7279974978461788,0.69264652437265,0.46797722691535865
finetune,det,0.9016433316793964,0.7738449365558142,0.8258251949180673,0.5762627899722554
