epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2357.11,0.12984,0.72688,0.84605,0.8638,0.89341,0.93447,0.62393,0.13307,0.69906,0.84772,0.00107205,0.00107205,0.00107205
43,2397.31,0.13012,0.73517,0.84193,0.83777,0.89028,0.91888,0.60809,0.13601,0.75228,0.85876,0.00104705,0.00104705,0.00104705
44,2437.24,0.12996,0.73437,0.84705,0.85837,0.89906,0.93069,0.60418,0.14034,0.7115,0.87106,0.00102184,0.00102184,0.00102184
45,2477.16,0.12986,0.72299,0.84762,0.86098,0.9021,0.93906,0.6325,0.13085,0.69157,0.8625,0.000996456,0.000996456,0.000996456
46,2517.24,0.12977,0.73032,0.85155,0.8661,0.89306,0.93559,0.61847,0.13554,0.70838,0.87507,0.000970919,0.000970919,0.000970919
47,2557.24,0.12984,0.72443,0.84608,0.87096,0.89408,0.93787,0.61927,0.13587,0.68811,0.8582,0.000945256,0.000945256,0.000945256
48,2597.26,0.12978,0.70759,0.84219,0.86492,0.90003,0.93761,0.63484,0.13037,0.68935,0.85973,0.00091949,0.00091949,0.00091949
49,2637.54,0.12984,0.72653,0.85007,0.8599,0.89492,0.9338,0.60704,0.14012,0.70545,0.87353,0.000893648,0.000893648,0.000893648
50,2677.67,0.12877,0.7094,0.84523,0.86404,0.90761,0.93992,0.61948,0.13564,0.68379,0.88167,0.000867754,0.000867754,0.000867754
51,2717.83,0.12926,0.72459,0.85085,0.86582,0.89904,0.93543,0.61402,0.13736,0.6909,0.87747,0.000841835,0.000841835,0.000841835
52,2757.92,0.12954,0.702,0.85223,0.86813,0.90421,0.93871,0.63108,0.13206,0.66682,0.85497,0.000815916,0.000815916,0.000815916
53,2797.97,0.12866,0.69932,0.83885,0.86622,0.89794,0.9383,0.63138,0.13193,0.67616,0.84819,0.000790022,0.000790022,0.000790022
54,2837.88,0.12792,0.68945,0.83985,0.85499,0.90407,0.93373,0.61473,0.13639,0.69352,0.85883,0.00076418,0.00076418,0.00076418
55,2877.8,0.12847,0.69963,0.83844,0.86663,0.90544,0.94018,0.62614,0.13417,0.67441,0.85338,0.000738414,0.000738414,0.000738414
56,2917.82,0.12772,0.69618,0.84088,0.86348,0.8931,0.9347,0.62975,0.13159,0.68374,0.86321,0.000712751,0.000712751,0.000712751
57,2957.83,0.12707,0.69058,0.84461,0.86444,0.89862,0.93378,0.63438,0.12999,0.68588,0.85326,0.000687214,0.000687214,0.000687214
58,2998.04,0.12839,0.69832,0.84585,0.86848,0.89474,0.93362,0.60777,0.13937,0.7021,0.86457,0.000661831,0.000661831,0.000661831
59,3038,0.12842,0.69272,0.83967,0.86977,0.90148,0.93553,0.62611,0.13321,0.67528,0.84848,0.000636625,0.000636625,0.000636625
60,3078.16,0.12634,0.67158,0.83073,0.86916,0.89699,0.93529,0.62004,0.13584,0.68053,0.86783,0.000611621,0.000611621,0.000611621
61,3118.19,0.12689,0.67653,0.83397,0.8706,0.90053,0.93576,0.63346,0.13098,0.66826,0.83709,0.000586845,0.000586845,0.000586845
62,3158.51,0.1276,0.67129,0.83005,0.86989,0.8946,0.93497,0.62579,0.1344,0.68428,0.86374,0.00056232,0.00056232,0.00056232
63,3198.63,0.12713,0.68126,0.84206,0.86892,0.90364,0.93167,0.62724,0.1318,0.67241,0.86211,0.000538072,0.000538072,0.000538072
64,3238.59,0.12676,0.67167,0.83257,0.86753,0.90634,0.93474,0.63689,0.13003,0.661,0.84372,0.000514122,0.000514122,0.000514122
65,3278.65,0.1263,0.67373,0.83336,0.86438,0.9061,0.93471,0.61439,0.13789,0.67493,0.86812,0.000490497,0.000490497,0.000490497
66,3318.87,0.12608,0.65785,0.82868,0.8698,0.89681,0.93603,0.61537,0.13702,0.67755,0.86289,0.000467218,0.000467218,0.000467218
67,3359,0.12563,0.66924,0.82535,0.87833,0.8916,0.93656,0.6287,0.1325,0.66496,0.83531,0.000444309,0.000444309,0.000444309
68,3399.06,0.12554,0.65401,0.82161,0.87317,0.90417,0.93867,0.64242,0.12878,0.64958,0.8334,0.000421792,0.000421792,0.000421792
69,3439.19,0.12501,0.65938,0.83316,0.86136,0.90999,0.93331,0.62886,0.13219,0.66871,0.84668,0.000399689,0.000399689,0.000399689
70,3479.23,0.12504,0.65408,0.83005,0.87192,0.9031,0.93764,0.63085,0.13203,0.66387,0.85574,0.000378023,0.000378023,0.000378023
71,3519.25,0.12445,0.6489,0.82496,0.8775,0.90602,0.93732,0.63626,0.1303,0.65109,0.84706,0.000356815,0.000356815,0.000356815
72,3559.35,0.12408,0.64899,0.82602,0.87601,0.90768,0.94004,0.63217,0.13249,0.64909,0.84967,0.000336086,0.000336086,0.000336086
73,3599.42,0.12406,0.63656,0.81524,0.87193,0.90688,0.93711,0.63784,0.13005,0.64759,0.82801,0.000315855,0.000315855,0.000315855
74,3639.45,0.12413,0.64377,0.81773,0.86919,0.9075,0.93556,0.63839,0.12935,0.64935,0.82747,0.000296144,0.000296144,0.000296144
75,3679.5,0.12419,0.6394,0.81396,0.87528,0.89686,0.93609,0.63101,0.13163,0.66007,0.8337,0.000276971,0.000276971,0.000276971
76,3719.79,0.12453,0.63593,0.81604,0.87157,0.90359,0.93601,0.633,0.131,0.65199,0.83388,0.000258355,0.000258355,0.000258355
77,3759.94,0.12338,0.63526,0.8128,0.87077,0.90721,0.93729,0.64097,0.12852,0.6534,0.82383,0.000240316,0.000240316,0.000240316
78,3800.04,0.12237,0.62686,0.81292,0.87891,0.9055,0.93721,0.63931,0.12992,0.64537,0.82909,0.00022287,0.00022287,0.00022287
