epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,59.4415,0.72541,0.56781,0.93857,0.71339,0.67343,0.71555,0.48283,0.78338,0.59992,0.97174,0.00123566,0.00123566,0.00123566
43,60.7692,0.75609,0.56646,0.95619,0.73799,0.69042,0.7078,0.48106,0.79264,0.59239,0.97077,0.00123094,0.00123094,0.00123094
44,62.1064,0.75188,0.56958,0.9492,0.60961,0.68826,0.64468,0.46896,0.78611,0.56753,0.96936,0.00122622,0.00122622,0.00122622
45,63.3508,0.76204,0.56789,0.96317,0.66445,0.64621,0.65002,0.4723,0.78046,0.56071,0.96843,0.00122151,0.00122151,0.00122151
46,64.7904,0.76841,0.55967,0.95571,0.74001,0.55753,0.63562,0.46147,0.81765,0.59034,0.97798,0.00121679,0.00121679,0.00121679
47,66.1448,0.7638,0.55833,0.94851,0.81019,0.58592,0.67758,0.46488,0.83292,0.59455,0.9992,0.00121208,0.00121208,0.00121208
48,67.4529,0.78161,0.55955,0.96918,0.88887,0.56437,0.68053,0.48786,0.78318,0.59991,0.97663,0.00120736,0.00120736,0.00120736
49,68.7139,0.79019,0.56071,0.95523,0.82894,0.65072,0.7329,0.46445,0.82998,0.61284,0.97426,0.00120265,0.00120265,0.00120265
50,70.0161,0.80174,0.56797,0.95197,0.72938,0.70335,0.71054,0.48563,0.81077,0.58206,0.98512,0.00119793,0.00119793,0.00119793
51,71.2939,0.772,0.56589,0.95796,0.7718,0.62879,0.69022,0.47736,0.82103,0.57397,0.99489,0.00119322,0.00119322,0.00119322
52,72.5845,0.75977,0.5369,0.94626,0.83333,0.70454,0.76823,0.51478,0.75987,0.56409,0.96531,0.0011885,0.0011885,0.0011885
53,73.8755,0.74345,0.53048,0.94562,0.78121,0.67423,0.71752,0.52595,0.77465,0.56618,0.97223,0.00118378,0.00118378,0.00118378
54,75.2093,0.78036,0.55445,0.96302,0.77116,0.73531,0.74108,0.53528,0.77479,0.58134,0.96758,0.00117907,0.00117907,0.00117907
55,76.4895,0.71407,0.5307,0.93672,0.76765,0.73137,0.72524,0.50965,0.79199,0.59011,0.97013,0.00117435,0.00117435,0.00117435
56,77.7459,0.74487,0.55821,0.95385,0.76081,0.72198,0.70491,0.47965,0.80938,0.57356,0.98532,0.00116964,0.00116964,0.00116964
57,78.9958,0.72616,0.51695,0.93078,0.65207,0.71118,0.67207,0.45834,0.79997,0.57239,0.98904,0.00116492,0.00116492,0.00116492
58,80.298,0.74362,0.52311,0.93554,0.75878,0.6555,0.69881,0.44918,0.76997,0.57053,0.96004,0.00116021,0.00116021,0.00116021
59,81.5597,0.74819,0.51842,0.93415,0.75783,0.6252,0.71441,0.46165,0.78619,0.56197,0.96839,0.00115549,0.00115549,0.00115549
60,82.8312,0.73345,0.51668,0.93811,0.78843,0.73971,0.74951,0.4863,0.77467,0.55527,0.9752,0.00115077,0.00115077,0.00115077
61,84.0818,0.73147,0.50992,0.93146,0.81015,0.72164,0.76356,0.50264,0.74772,0.5516,0.96023,0.00114606,0.00114606,0.00114606
62,85.3822,0.73283,0.51204,0.93311,0.94052,0.63288,0.74193,0.48949,0.77362,0.53301,0.98081,0.00114134,0.00114134,0.00114134
63,86.6402,0.73665,0.51997,0.94907,0.74878,0.73844,0.77603,0.49984,0.77572,0.52759,0.98122,0.00113663,0.00113663,0.00113663
64,87.9687,0.71953,0.50675,0.92908,0.73326,0.76896,0.75116,0.52675,0.72107,0.53746,0.94597,0.00113191,0.00113191,0.00113191
65,89.2386,0.71556,0.51045,0.9258,0.7257,0.73689,0.74293,0.52367,0.78873,0.54059,0.97811,0.0011272,0.0011272,0.0011272
66,90.4989,0.69968,0.49417,0.92025,0.81436,0.64274,0.72091,0.50543,0.73246,0.53371,0.9568,0.00112248,0.00112248,0.00112248
67,91.7472,0.70035,0.50897,0.93661,0.73543,0.69059,0.74966,0.54437,0.73585,0.52158,0.9506,0.00111776,0.00111776,0.00111776
68,93.0535,0.68677,0.50785,0.927,0.71283,0.73843,0.76466,0.51367,0.7561,0.51248,0.96084,0.00111305,0.00111305,0.00111305
69,94.2969,0.71931,0.50251,0.92717,0.75665,0.65378,0.73937,0.51675,0.7385,0.52145,0.95828,0.00110833,0.00110833,0.00110833
70,95.5722,0.73434,0.50658,0.95169,0.7368,0.72927,0.71152,0.48217,0.74083,0.55256,0.95875,0.00110362,0.00110362,0.00110362
71,96.8683,0.7122,0.50103,0.92332,0.6446,0.72089,0.68619,0.46235,0.7463,0.54059,0.97173,0.0010989,0.0010989,0.0010989
72,98.1436,0.72288,0.49554,0.9408,0.70278,0.62449,0.69825,0.47894,0.73721,0.51905,0.95781,0.00109419,0.00109419,0.00109419
73,99.4107,0.69453,0.48835,0.91723,0.75278,0.6252,0.70771,0.49363,0.74447,0.52394,0.95522,0.00108947,0.00108947,0.00108947
74,100.666,0.73073,0.4961,0.9288,0.63066,0.7194,0.7185,0.50954,0.73526,0.51041,0.95854,0.00108475,0.00108475,0.00108475
75,101.892,0.70562,0.49407,0.93689,0.61593,0.76077,0.72498,0.51559,0.73899,0.50778,0.96026,0.00108004,0.00108004,0.00108004
76,103.142,0.69981,0.48051,0.92633,0.7061,0.6275,0.70913,0.52715,0.70437,0.49557,0.93826,0.00107532,0.00107532,0.00107532
77,104.436,0.70362,0.48379,0.91969,0.73316,0.65732,0.70212,0.51129,0.73151,0.49269,0.9509,0.00107061,0.00107061,0.00107061
78,105.813,0.69102,0.47674,0.93262,0.73614,0.63676,0.69078,0.49535,0.72384,0.50296,0.9454,0.00106589,0.00106589,0.00106589
79,107.108,0.69891,0.46398,0.92079,0.71768,0.63796,0.68134,0.48473,0.71441,0.52147,0.93765,0.00106118,0.00106118,0.00106118
80,108.357,0.70988,0.48733,0.93675,0.63716,0.65135,0.63836,0.46972,0.74915,0.52166,0.96273,0.00105646,0.00105646,0.00105646
81,109.58,0.71016,0.47589,0.94102,0.68267,0.67783,0.66304,0.49819,0.71828,0.50359,0.95169,0.00105174,0.00105174,0.00105174
82,110.974,0.68308,0.46593,0.91615,0.70869,0.69178,0.69825,0.49594,0.71456,0.50921,0.94858,0.00104703,0.00104703,0.00104703
83,112.256,0.70246,0.48665,0.9156,0.64729,0.78101,0.73208,0.50205,0.72886,0.50467,0.95587,0.00104231,0.00104231,0.00104231
84,113.503,0.68212,0.47773,0.92599,0.75792,0.75532,0.72399,0.49649,0.74413,0.4949,0.96031,0.0010376,0.0010376,0.0010376
85,114.754,0.72469,0.48185,0.93267,0.79078,0.7411,0.73525,0.50367,0.73379,0.49218,0.95532,0.00103288,0.00103288,0.00103288
86,116.189,0.67708,0.45494,0.91963,0.852,0.72402,0.739,0.51174,0.75633,0.49016,0.9705,0.00102817,0.00102817,0.00102817
87,117.466,0.67863,0.46215,0.92376,0.76342,0.69059,0.74326,0.51848,0.75265,0.48477,0.95712,0.00102345,0.00102345,0.00102345
88,118.767,0.6784,0.44969,0.91431,0.66822,0.70335,0.71028,0.4841,0.75206,0.50328,0.95553,0.00101873,0.00101873,0.00101873
89,120.012,0.65899,0.44908,0.92149,0.75569,0.64186,0.7007,0.46961,0.72306,0.49694,0.94667,0.00101402,0.00101402,0.00101402
