epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3904.84,0.12874,0.79041,0.83766,0.76347,0.82399,0.84679,0.5687,0.13114,0.78145,0.85161,0.000803876,0.000803876,0.000803876
43,3993.69,0.12917,0.79279,0.84033,0.7673,0.82067,0.83907,0.54785,0.13718,0.81846,0.86645,0.000785127,0.000785127,0.000785127
44,4082.69,0.13015,0.80597,0.84939,0.747,0.81947,0.82565,0.53951,0.13688,0.82596,0.87073,0.000766226,0.000766226,0.000766226
45,4170.49,0.129,0.78707,0.84021,0.79798,0.8203,0.86002,0.57666,0.13141,0.76669,0.84394,0.000747192,0.000747192,0.000747192
46,4259.29,0.12866,0.79357,0.83654,0.78404,0.83128,0.86006,0.56327,0.13559,0.77176,0.86734,0.000728044,0.000728044,0.000728044
47,4348.24,0.12934,0.7847,0.84081,0.76306,0.83483,0.84909,0.55427,0.13911,0.79149,0.87157,0.0007088,0.0007088,0.0007088
48,4436.87,0.12874,0.77436,0.83566,0.77964,0.83998,0.85492,0.57816,0.13064,0.77766,0.8466,0.00068948,0.00068948,0.00068948
49,4525.78,0.12878,0.774,0.84507,0.7763,0.82358,0.84399,0.56678,0.13189,0.79152,0.85532,0.000670102,0.000670102,0.000670102
50,4614.38,0.12792,0.76641,0.83544,0.78343,0.82786,0.85304,0.57018,0.13241,0.77692,0.85752,0.000650685,0.000650685,0.000650685
51,4703.46,0.12832,0.77414,0.84082,0.77776,0.82321,0.84542,0.55651,0.13581,0.78413,0.86875,0.00063125,0.00063125,0.00063125
52,4792.58,0.12887,0.77009,0.84849,0.7615,0.84462,0.84588,0.56096,0.13494,0.78394,0.86521,0.000611815,0.000611815,0.000611815
53,4882.06,0.12796,0.76792,0.83466,0.77463,0.82871,0.85103,0.57232,0.1318,0.78713,0.8448,0.000592398,0.000592398,0.000592398
54,4969.66,0.12673,0.7497,0.83395,0.77656,0.83605,0.85023,0.5654,0.13303,0.77137,0.84883,0.00057302,0.00057302,0.00057302
55,5058.53,0.12728,0.75788,0.82839,0.76705,0.83433,0.846,0.56989,0.13099,0.77273,0.82995,0.0005537,0.0005537,0.0005537
56,5147.33,0.12627,0.7432,0.82546,0.79045,0.83579,0.85932,0.57758,0.13127,0.76138,0.84308,0.000534456,0.000534456,0.000534456
57,5236.44,0.12628,0.74017,0.82792,0.78098,0.83806,0.86202,0.58919,0.12808,0.75544,0.83801,0.000515308,0.000515308,0.000515308
58,5325.44,0.12716,0.74404,0.83426,0.78596,0.82625,0.84984,0.54859,0.13882,0.77965,0.8643,0.000496274,0.000496274,0.000496274
59,5414.27,0.12751,0.75407,0.83696,0.80038,0.81736,0.85793,0.57652,0.13142,0.75798,0.84306,0.000477373,0.000477373,0.000477373
60,5503.86,0.12512,0.72268,0.82242,0.79071,0.82131,0.85631,0.57288,0.13307,0.76367,0.85362,0.000458624,0.000458624,0.000458624
61,5593.23,0.12573,0.73012,0.82856,0.78906,0.83954,0.86171,0.57825,0.13265,0.75315,0.85131,0.000440046,0.000440046,0.000440046
62,5681.01,0.12601,0.72313,0.82594,0.77656,0.83342,0.85168,0.55592,0.13849,0.78058,0.87701,0.000421656,0.000421656,0.000421656
63,5773.13,0.12621,0.73214,0.82741,0.80179,0.81864,0.85691,0.57667,0.13158,0.75474,0.83726,0.000403473,0.000403473,0.000403473
64,5866.15,0.12575,0.72783,0.82076,0.79127,0.83211,0.85978,0.58343,0.12996,0.75403,0.83783,0.000385515,0.000385515,0.000385515
65,5959.06,0.12559,0.73153,0.82529,0.79045,0.82991,0.85627,0.56641,0.13454,0.76521,0.86054,0.000367799,0.000367799,0.000367799
66,6050.18,0.12528,0.70672,0.82262,0.77934,0.84274,0.85709,0.56793,0.13428,0.76777,0.84857,0.000350343,0.000350343,0.000350343
67,6141.88,0.12453,0.71599,0.82028,0.79283,0.82846,0.86639,0.58451,0.13006,0.75226,0.84123,0.000333165,0.000333165,0.000333165
68,6230.79,0.1247,0.70382,0.8192,0.79014,0.83757,0.86036,0.58645,0.12788,0.73882,0.82473,0.000316281,0.000316281,0.000316281
69,6318.67,0.12408,0.70511,0.8196,0.79325,0.82283,0.85635,0.57676,0.13078,0.76424,0.83177,0.000299707,0.000299707,0.000299707
70,6408.42,0.12406,0.70501,0.81434,0.77075,0.85137,0.86125,0.5729,0.13257,0.75666,0.83809,0.000283461,0.000283461,0.000283461
71,6500.28,0.12394,0.70052,0.81607,0.80356,0.822,0.85833,0.58084,0.12974,0.75109,0.84223,0.000267558,0.000267558,0.000267558
72,6591.42,0.12292,0.69009,0.81975,0.80128,0.8221,0.86544,0.57928,0.13222,0.74706,0.8498,0.000252014,0.000252014,0.000252014
73,6681.85,0.12271,0.68612,0.80937,0.80642,0.82293,0.86443,0.58329,0.13024,0.73823,0.833,0.000236844,0.000236844,0.000236844
74,6770.45,0.1233,0.68393,0.81422,0.79718,0.83329,0.85599,0.57874,0.12935,0.74997,0.83208,0.000222063,0.000222063,0.000222063
75,6859,0.12337,0.6865,0.81223,0.79194,0.83152,0.86045,0.58048,0.13012,0.75072,0.82876,0.000207686,0.000207686,0.000207686
76,6948.37,0.12369,0.68237,0.80974,0.78718,0.83834,0.86198,0.58671,0.12888,0.73965,0.82719,0.000193728,0.000193728,0.000193728
77,7036.98,0.1224,0.68028,0.80962,0.78894,0.83931,0.86132,0.58613,0.12817,0.74071,0.82929,0.000180201,0.000180201,0.000180201
78,7124.68,0.12186,0.67341,0.81142,0.79552,0.84104,0.86197,0.58577,0.12883,0.74067,0.83224,0.000167119,0.000167119,0.000167119
79,7213.74,0.12225,0.67965,0.81205,0.79245,0.83831,0.86157,0.58724,0.12837,0.74132,0.83349,0.000154495,0.000154495,0.000154495
80,7304.72,0.12172,0.66672,0.80947,0.77967,0.85203,0.85938,0.57865,0.13114,0.7513,0.83666,0.000142342,0.000142342,0.000142342
81,7394.11,0.12187,0.66236,0.80344,0.78754,0.85038,0.86109,0.58391,0.12873,0.74032,0.82734,0.000130671,0.000130671,0.000130671
82,7483.63,0.12263,0.66931,0.80853,0.79216,0.84495,0.8618,0.58816,0.12826,0.73949,0.82837,0.000119494,0.000119494,0.000119494
83,7574.54,0.1215,0.66045,0.806,0.81949,0.82348,0.86316,0.58609,0.12966,0.73847,0.8257,0.000108822,0.000108822,0.000108822
84,7664.32,0.12164,0.66314,0.80045,0.80391,0.82912,0.86286,0.58944,0.12821,0.73746,0.81679,9.86659e-05,9.86659e-05,9.86659e-05
85,7753.64,0.12176,0.65129,0.80342,0.80262,0.82948,0.86041,0.58328,0.1292,0.74956,0.82444,8.90352e-05,8.90352e-05,8.90352e-05
86,7843.11,0.12114,0.65148,0.8041,0.79901,0.83848,0.86128,0.582,0.13012,0.74579,0.82702,7.99397e-05,7.99397e-05,7.99397e-05
87,7933.76,0.12184,0.65415,0.8054,0.77817,0.85519,0.85827,0.58383,0.12847,0.74377,0.82079,7.13883e-05,7.13883e-05,7.13883e-05
