模型,类型,Box_Precision,Box_Recall,Box_mAP50,Mask_Precision,Mask_Recall,Mask_mAP50,Mask_mAP50-95
scratch,seg,0.4322073006110055,0.09999999999999999,0.12379651477700715,0,0,0,0
transfer,seg,0.764871089615518,0.09736842105263159,0.09985411789759928,0,0,0,0
