模型,类型,Box_Precision,Box_Recall,Box_mAP50,Box_mAP50-95
medium,det,0.0009933970609917377,0.0013157894736842105,5.030181086519115e-06,5.030181086519115e-07
small,det,0.01445874241350973,0.04081632653061224,0.0019939818092696475,0.0006261802817845517
large,det,0.04044117647058824,0.014473684210526316,0.002077067669172932,0.0005216635338345865
finetune,det,0.5688134267744823,0.2118421052631579,0.11296784874745372,0.03995801030724656
