模型,图片数,真实标注,预测标注,TP,FP,FN,Precision,Recall,F1
medium,22,787,767,1,766,786,0.001303780964797914,0.0012706480304955528,0.0012870012870012872
small,22,787,36,0,36,787,0.0,0.0,0.0
large,22,787,0,0,0,787,0.0,0.0,0.0
scratch,22,787,365,70,295,717,0.1917808219178082,0.08894536213468869,0.12152777777777778
transfer,22,787,282,35,247,752,0.12411347517730496,0.044472681067344345,0.06548175865294668
finetune,22,787,517,220,297,567,0.425531914893617,0.2795425667090216,0.3374233128834356
