epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1682.64,0.09434,0.22719,1.18941,0.82677,0,0.70285,0.66018,0.7236,0.53492,0.70283,0.6,0.65951,0.47895,0.112,0.23874,1.38837,0.75134,0,0.0016647,0.0016647,0.0016647
29,1741.14,0.09053,0.21882,1.14885,0.81866,0,0.77314,0.68319,0.78543,0.57622,0.80863,0.63186,0.72434,0.52539,0.11064,0.23069,1.25266,0.75202,0,0.00164105,0.00164105,0.00164105
30,1799.97,0.08892,0.21814,1.11327,0.79967,0,0.77935,0.6689,0.76332,0.56579,0.78413,0.64956,0.72445,0.523,0.10426,0.21421,1.29227,0.72513,0,0.00161678,0.00161678,0.00161678
31,1858.95,0.08868,0.21846,1.1234,0.80815,0,0.75147,0.61543,0.72773,0.52489,0.75562,0.59646,0.68547,0.49205,0.10892,0.21836,1.30758,0.75314,0,0.00159191,0.00159191,0.00159191
32,1918.02,0.08965,0.21576,1.09752,0.8132,0,0.73541,0.64071,0.7394,0.54178,0.68724,0.63717,0.67959,0.48783,0.10721,0.24062,1.27584,0.73398,0,0.00156646,0.00156646,0.00156646
33,1976.95,0.09092,0.22241,1.13179,0.80852,0,0.70995,0.72743,0.75723,0.56318,0.67241,0.69558,0.70122,0.50969,0.0998,0.22089,1.34466,0.71145,0,0.00154047,0.00154047,0.00154047
34,2035.82,0.08665,0.2116,1.05636,0.81038,0,0.76458,0.6783,0.76623,0.58127,0.7462,0.66609,0.72174,0.52805,0.09736,0.2176,1.1684,0.70914,0,0.00151395,0.00151395,0.00151395
35,2094.22,0.08825,0.21641,1.09646,0.8121,0,0.77887,0.69381,0.78639,0.59571,0.8003,0.65253,0.74685,0.54408,0.09937,0.2042,1.16501,0.70172,0,0.00148694,0.00148694,0.00148694
36,2152.34,0.08456,0.20629,1.05733,0.79859,0,0.77512,0.73274,0.7976,0.58627,0.79547,0.69204,0.74541,0.53738,0.09767,0.21081,1.14558,0.6931,0,0.00145945,0.00145945,0.00145945
37,2210.51,0.08951,0.21442,1.07751,0.80465,0,0.82521,0.63717,0.7896,0.60476,0.74846,0.67409,0.75196,0.54167,0.09616,0.21244,1.11756,0.69637,0,0.00143152,0.00143152,0.00143152
38,2268.81,0.08532,0.20723,1.03958,0.79406,0,0.75636,0.68673,0.77727,0.57809,0.74672,0.67611,0.7458,0.5254,0.10018,0.20037,1.17485,0.70182,0,0.00140318,0.00140318,0.00140318
39,2326.83,0.0834,0.20591,1.03068,0.79239,0,0.781,0.70064,0.79494,0.59125,0.73731,0.68057,0.73511,0.53286,0.1006,0.22591,1.15493,0.70669,0,0.00137444,0.00137444,0.00137444
40,2384.89,0.08634,0.20686,1.05972,0.79466,0,0.74427,0.72116,0.79298,0.59436,0.73264,0.69204,0.73702,0.53321,0.09303,0.21706,1.14645,0.66339,0,0.00134535,0.00134535,0.00134535
41,2443.99,0.08639,0.20654,1.04476,0.78807,0,0.75328,0.71858,0.79306,0.60029,0.78915,0.69554,0.75869,0.54563,0.10167,0.1899,1.17459,0.70229,0,0.00131593,0.00131593,0.00131593
42,2502.96,0.08518,0.20154,1.02343,0.79002,0,0.72779,0.74336,0.79694,0.59811,0.74534,0.68673,0.7434,0.55398,0.10142,0.20082,1.10157,0.70508,0,0.0012862,0.0012862,0.0012862
43,2561.97,0.08194,0.20206,1.00478,0.78617,0,0.73119,0.72743,0.77839,0.57408,0.73103,0.66866,0.72648,0.50875,0.10216,0.22352,1.20926,0.71561,0,0.0012562,0.0012562,0.0012562
44,2620.81,0.08291,0.19509,0.99891,0.78811,0,0.77554,0.67878,0.77999,0.59901,0.76714,0.65664,0.73324,0.53367,0.09375,0.22444,1.18636,0.67602,0,0.00122596,0.00122596,0.00122596
45,2679.64,0.08324,0.19462,1.00983,0.78976,0,0.75601,0.71295,0.79036,0.59467,0.77079,0.68496,0.74606,0.54308,0.09595,0.21379,1.168,0.68124,0,0.00119551,0.00119551,0.00119551
46,2738.19,0.08073,0.19728,0.98804,0.77716,0,0.81934,0.68319,0.80066,0.61257,0.80429,0.66726,0.75033,0.55246,0.09726,0.1947,1.18585,0.67965,0,0.00116487,0.00116487,0.00116487
47,2796.39,0.08149,0.19066,0.9687,0.77901,0,0.79987,0.69381,0.79454,0.59986,0.80111,0.67257,0.75617,0.55719,0.09871,0.19652,1.12139,0.69701,0,0.00113408,0.00113408,0.00113408
48,2854.41,0.07927,0.18667,0.965,0.77569,0,0.7732,0.69912,0.79639,0.59568,0.76764,0.69381,0.76033,0.54949,0.09927,0.19516,1.14201,0.6939,0,0.00110317,0.00110317,0.00110317
49,2912.75,0.08142,0.19371,0.98002,0.78004,0,0.80835,0.68496,0.79573,0.59364,0.8005,0.696,0.76791,0.5551,0.10216,0.18712,1.12263,0.70007,0,0.00107216,0.00107216,0.00107216
50,2970.94,0.08022,0.19731,0.9619,0.77979,0,0.76865,0.73628,0.81513,0.62638,0.78095,0.71504,0.78362,0.57773,0.09242,0.18933,1.05539,0.66606,0,0.0010411,0.0010411,0.0010411
51,3029.15,0.08108,0.18939,0.9564,0.77633,0,0.78048,0.69848,0.79325,0.58915,0.78507,0.67257,0.75354,0.53599,0.09881,0.20457,1.17865,0.68629,0,0.00101,0.00101,0.00101
52,3087.42,0.0804,0.18913,0.96733,0.7777,0,0.82046,0.70368,0.81969,0.62458,0.83087,0.68673,0.7829,0.56552,0.0913,0.18608,1.03995,0.67022,0,0.000978903,0.000978903,0.000978903
53,3145.56,0.07591,0.18199,0.92812,0.76954,0,0.77611,0.74236,0.81096,0.62048,0.74944,0.71999,0.76301,0.55483,0.09408,0.20207,1.09573,0.67838,0,0.000947837,0.000947837,0.000947837
54,3203.75,0.07805,0.189,0.942,0.77059,0,0.82371,0.69465,0.818,0.64671,0.81111,0.68403,0.786,0.58928,0.08906,0.18762,1.02602,0.65376,0,0.000916833,0.000916833,0.000916833
55,3262.01,0.07767,0.18343,0.91784,0.772,0,0.79784,0.71249,0.81381,0.6095,0.8141,0.66656,0.77784,0.54605,0.09989,0.19836,1.16783,0.68485,0,0.00088592,0.00088592,0.00088592
56,3321.26,0.07792,0.18521,0.91114,0.76641,0,0.8195,0.72035,0.82175,0.64253,0.77787,0.72566,0.78697,0.57275,0.0942,0.18936,1.05562,0.66816,0,0.00085513,0.00085513,0.00085513
57,3380.23,0.07655,0.18873,0.92101,0.76651,0,0.78693,0.73982,0.81975,0.64268,0.79503,0.7115,0.78567,0.58361,0.08802,0.18249,1.01128,0.63377,0,0.000824492,0.000824492,0.000824492
58,3439.09,0.07566,0.18707,0.93323,0.76832,0,0.84583,0.68496,0.82653,0.6424,0.82637,0.69076,0.78815,0.57578,0.0887,0.18251,1.07012,0.64071,0,0.000794038,0.000794038,0.000794038
59,3497.95,0.0744,0.17853,0.87996,0.76057,0,0.8535,0.69558,0.83235,0.64099,0.84618,0.68319,0.78817,0.58737,0.0928,0.18298,1.01385,0.66266,0,0.000763797,0.000763797,0.000763797
60,3556.77,0.07193,0.17635,0.86501,0.74799,0,0.78597,0.74097,0.82359,0.63813,0.77725,0.73274,0.79321,0.57615,0.0903,0.18832,1.02239,0.64956,0,0.000733799,0.000733799,0.000733799
61,3615.6,0.07557,0.17955,0.86834,0.75671,0,0.76303,0.76106,0.83462,0.64652,0.81733,0.68496,0.7814,0.56973,0.09049,0.18804,1.02264,0.6356,0,0.000704073,0.000704073,0.000704073
62,3674.08,0.07343,0.17283,0.87768,0.75426,0,0.8022,0.74159,0.83079,0.66343,0.78289,0.73097,0.78034,0.58637,0.0832,0.17938,0.9888,0.62049,0,0.000674649,0.000674649,0.000674649
63,3732.36,0.07208,0.17085,0.86841,0.75356,0,0.80671,0.73628,0.83155,0.65458,0.81074,0.73097,0.79357,0.59035,0.0859,0.18003,0.96836,0.62972,0,0.000645557,0.000645557,0.000645557
64,3790.64,0.07298,0.17301,0.87549,0.75605,0,0.8001,0.74159,0.83295,0.65723,0.80158,0.74159,0.80703,0.59033,0.08361,0.18302,0.97168,0.62427,0,0.000616824,0.000616824,0.000616824
65,3848.72,0.07225,0.17306,0.8674,0.74943,0,0.83332,0.73097,0.83182,0.65485,0.81841,0.71789,0.79091,0.58607,0.08451,0.1855,0.96753,0.62537,0,0.000588479,0.000588479,0.000588479
66,3906.83,0.071,0.17396,0.84057,0.74794,0,0.78123,0.74513,0.82829,0.65359,0.83548,0.71904,0.79491,0.57742,0.08565,0.18145,1.01819,0.6167,0,0.000560549,0.000560549,0.000560549
67,3964.73,0.07118,0.16739,0.81252,0.74818,0,0.83946,0.72187,0.83613,0.66712,0.82933,0.71383,0.79471,0.58295,0.08279,0.1707,0.93917,0.61408,0,0.000533064,0.000533064,0.000533064
68,4022.97,0.07038,0.16606,0.83393,0.74272,0,0.81033,0.75616,0.84557,0.67733,0.81261,0.73982,0.8164,0.60418,0.08061,0.17671,0.95997,0.60792,0,0.000506049,0.000506049,0.000506049
69,4081.12,0.07087,0.1702,0.83602,0.74419,0,0.80654,0.73982,0.83816,0.67185,0.81707,0.73097,0.80277,0.59475,0.0801,0.17028,0.94023,0.60546,0,0.000479531,0.000479531,0.000479531
70,4139.16,0.07037,0.17197,0.84226,0.74925,0,0.83838,0.7345,0.84786,0.67443,0.81632,0.73982,0.80484,0.59906,0.08317,0.17015,0.96806,0.61302,0,0.000453537,0.000453537,0.000453537
71,4197.16,0.06899,0.16221,0.80575,0.74562,0,0.80473,0.7823,0.83691,0.65904,0.80541,0.77345,0.81054,0.59488,0.08347,0.17526,0.94667,0.62283,0,0.000428093,0.000428093,0.000428093
72,4255.34,0.06949,0.16557,0.82192,0.74371,0,0.83265,0.74851,0.83861,0.66313,0.81577,0.73097,0.79873,0.59149,0.08383,0.17018,0.95285,0.62108,0,0.000403222,0.000403222,0.000403222
73,4313.17,0.06782,0.16396,0.81486,0.73647,0,0.81389,0.77403,0.85104,0.6692,0.82829,0.73274,0.81324,0.60295,0.08579,0.17552,0.95021,0.62029,0,0.00037895,0.00037895,0.00037895
74,4371.38,0.06582,0.15911,0.80311,0.72815,0,0.82294,0.75683,0.84632,0.66735,0.83086,0.73451,0.81012,0.5994,0.08535,0.17404,0.94239,0.62903,0,0.000355301,0.000355301,0.000355301
75,4429.42,0.06914,0.16775,0.81933,0.74148,0,0.80315,0.7823,0.84267,0.67023,0.78644,0.76814,0.81525,0.60345,0.08181,0.1698,0.92182,0.60898,0,0.000332298,0.000332298,0.000332298
76,4487.65,0.06744,0.15865,0.79479,0.73183,0,0.81587,0.76814,0.84909,0.68147,0.83493,0.74867,0.81478,0.60888,0.08139,0.17122,0.93104,0.60387,0,0.000309964,0.000309964,0.000309964
77,4546.42,0.06643,0.16092,0.79665,0.72916,0,0.82838,0.76991,0.85473,0.67964,0.84085,0.74807,0.82508,0.61087,0.07972,0.17396,0.91609,0.59188,0,0.000288321,0.000288321,0.000288321
78,4605.39,0.06705,0.1613,0.78031,0.73321,0,0.82633,0.7646,0.85591,0.68288,0.82,0.75789,0.81889,0.61042,0.08123,0.17014,0.89312,0.60153,0,0.00026739,0.00026739,0.00026739
79,4664.65,0.06536,0.1657,0.77358,0.72939,0,0.83834,0.76283,0.85043,0.67957,0.82869,0.75221,0.81473,0.60627,0.08216,0.17072,0.90069,0.6097,0,0.000247192,0.000247192,0.000247192
80,4724.32,0.06483,0.15903,0.77764,0.72676,0,0.8445,0.77168,0.85758,0.68119,0.82905,0.7646,0.81997,0.60865,0.08113,0.17176,0.89157,0.60761,0,0.000227747,0.000227747,0.000227747
