id,pixel_x1,pixel_y1,pixel_x2,pixel_y2,geo_x1,geo_y1,geo_x2,geo_y2,confidence,class_id,class_name
35100,12143.4375,1290.9006,12160.0,1367.4869,113.48732,34.212257,113.48732,34.21225,0.3043960630893707,0,healthy
35101,16299.638,5242.2437,16369.535,5299.4985,113.487785,34.211887,113.48779,34.211884,0.30432063341140747,1,disease
35102,19584.023,10180.082,19595.883,10233.858,113.48816,34.211426,113.48816,34.21142,0.30429571866989136,0,healthy
35103,13615.7705,626.89484,13669.595,640.0,113.48748,34.212322,113.48749,34.21232,0.30421948432922363,0,healthy
35104,18464.238,7484.616,18495.617,7534.618,113.48803,34.211678,113.48804,34.211674,0.3041976988315582,1,disease
35105,11814.616,11552.268,11868.276,11584.0,113.48728,34.211296,113.48729,34.211292,0.30412212014198303,0,healthy
35106,13278.076,12881.164,13311.996,12939.6045,113.48744,34.21117,113.48745,34.211166,0.3041207790374756,1,disease
35107,6951.7524,8643.217,6976.0,8693.681,113.48673,34.21157,113.48673,34.211563,0.30400505661964417,0,healthy
35108,16167.705,11950.403,16191.971,11999.871,113.48777,34.211258,113.48778,34.211254,0.30379411578178406,0,healthy
35109,18523.666,2635.0845,18571.021,2681.96,113.48804,34.21213,113.488045,34.212128,0.3036922812461853,0,healthy
35110,14852.796,8244.805,14934.6,8331.74,113.487625,34.211605,113.48763,34.211597,0.3036513328552246,0,healthy
35111,18167.2,12719.165,18241.238,12736.0,113.488,34.211185,113.48801,34.211185,0.30360153317451477,0,healthy
35112,15833.888,5009.0635,15921.947,5107.734,113.48773,34.21191,113.48775,34.2119,0.30358177423477173,0,healthy
35113,12533.78,9750.104,12596.73,9805.152,113.48736,34.211464,113.487366,34.21146,0.30357831716537476,1,disease
35114,11895.768,4064.7048,11948.31,4096.0,113.48729,34.211998,113.4873,34.211994,0.30357077717781067,0,healthy
35115,18769.344,15552.048,18840.908,15567.489,113.48807,34.210922,113.488075,34.21092,0.3035656213760376,0,healthy
35116,16568.074,2019.3755,16629.883,2078.4868,113.487816,34.21219,113.48782,34.212185,0.3035357892513275,1,disease
35117,20091.496,4608.0,20165.432,4632.594,113.48821,34.21195,113.48822,34.211945,0.3034464716911316,0,healthy
35118,21640.516,10576.362,21685.064,10620.135,113.48839,34.211388,113.488396,34.211384,0.3034384548664093,0,healthy
35119,9838.03,6767.8574,9856.0,6830.01,113.48706,34.211746,113.48706,34.21174,0.30334874987602234,0,healthy
35120,15063.322,10972.602,15138.209,11030.824,113.48765,34.21135,113.487656,34.211346,0.3032757043838501,0,healthy
35121,19479.621,10314.012,19538.533,10359.042,113.488144,34.211414,113.48815,34.211407,0.3032344877719879,0,healthy
35122,21735.598,8123.3076,21783.56,8160.968,113.4884,34.211617,113.4884,34.211613,0.30322209000587463,1,disease
35123,10318.429,12149.524,10366.963,12205.492,113.487114,34.21124,113.487114,34.211235,0.3031637668609619,0,healthy
35124,12714.253,1534.2379,12735.961,1602.767,113.48738,34.212234,113.48738,34.21223,0.3031364679336548,0,healthy
35125,11523.472,3497.5125,11599.399,3520.0,113.48724,34.21205,113.48726,34.212048,0.3031004071235657,0,healthy
35126,12719.456,3057.1853,12736.0,3138.6785,113.48738,34.212093,113.48738,34.212086,0.3029730021953583,0,healthy
35127,19969.43,4508.995,20015.81,4552.402,113.4882,34.211956,113.488205,34.211952,0.30294954776763916,0,healthy
