epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,249.207,0.12051,0.61285,0.83494,0.57885,0.57176,0.6067,0.39735,0.13077,0.63483,0.96201,0.000918991,0.000918991,0.000918991
43,255.076,0.1196,0.60821,0.83575,0.76234,0.61721,0.62364,0.40112,0.14545,0.66314,1.03514,0.000897557,0.000897557,0.000897557
44,260.907,0.12205,0.62822,0.8465,0.78334,0.61382,0.62726,0.36279,0.16298,0.70346,1.12967,0.00087595,0.00087595,0.00087595
45,266.564,0.11787,0.62637,0.84051,0.68044,0.61841,0.62677,0.39486,0.14407,0.63176,1.03266,0.00085419,0.00085419,0.00085419
46,272.356,0.12331,0.624,0.84873,0.64327,0.61721,0.63404,0.40514,0.14016,0.62442,1.00855,0.0008323,0.0008323,0.0008323
47,278.095,0.12052,0.62343,0.86098,0.80019,0.59727,0.66983,0.4115,0.13422,0.62772,0.97139,0.0008103,0.0008103,0.0008103
48,283.823,0.1153,0.58814,0.826,0.71935,0.63357,0.68122,0.40735,0.1333,0.63073,0.9692,0.000788213,0.000788213,0.000788213
49,289.505,0.11863,0.61094,0.82074,0.8786,0.6055,0.67678,0.42302,0.12421,0.62647,0.93116,0.00076606,0.00076606,0.00076606
50,295.304,0.11492,0.60457,0.82717,0.8091,0.58419,0.66465,0.43493,0.11985,0.60316,0.91606,0.000743864,0.000743864,0.000743864
51,301.263,0.11696,0.60474,0.81379,0.80504,0.58606,0.65906,0.43134,0.12046,0.58416,0.92009,0.000721645,0.000721645,0.000721645
52,307.176,0.11853,0.61536,0.8368,0.83164,0.58429,0.65194,0.41268,0.13275,0.58856,0.97159,0.000699426,0.000699426,0.000699426
53,312.946,0.11608,0.58039,0.82126,0.86286,0.5777,0.64907,0.41305,0.13069,0.58236,0.95964,0.00067723,0.00067723,0.00067723
54,318.642,0.11541,0.5918,0.82664,0.74756,0.57687,0.64686,0.42759,0.12009,0.5835,0.91674,0.000655077,0.000655077,0.000655077
55,324.347,0.11288,0.59093,0.83227,0.80763,0.57739,0.6427,0.43548,0.11618,0.57701,0.90176,0.00063299,0.00063299,0.00063299
56,330.23,0.11573,0.57309,0.82164,0.74069,0.58603,0.65436,0.43761,0.12398,0.58599,0.93267,0.00061099,0.00061099,0.00061099
57,336.193,0.11825,0.61675,0.82349,0.74101,0.58692,0.6557,0.43508,0.12317,0.58492,0.92921,0.0005891,0.0005891,0.0005891
58,341.922,0.11356,0.57749,0.80857,0.64989,0.59818,0.65231,0.45388,0.12027,0.56842,0.92399,0.00056734,0.00056734,0.00056734
